indicator_code,indicator_name,unit,domain,data_type,country_code,country_name,region,income,year,query_type,ground_truth_value,prompt_type,prompt_text,ground_truth_latest_year,ground_truth_latest_value
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,BDI,Burundi,ESA,LIC,2025,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Burundi in 2025?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,BEL,Belgium,ECA,HIC,2025,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Belgium in 2025?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,BOL,Bolivia,LAC,LMC,2025,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Bolivia in 2025?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,CIV,Cote d'Ivoire,WCA,LMC,2027,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Cote d'Ivoire in 2027?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,CRI,Costa Rica,LAC,UMC,2026,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Costa Rica in 2026?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,ERI,Eritrea,ESA,LIC,2026,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Eritrea in 2026?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,GTM,Guatemala,LAC,UMC,2029,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Guatemala in 2029?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,HND,Honduras,LAC,LMC,2027,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Honduras in 2027?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,ISR,Israel,MNA,HIC,2029,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Israel in 2029?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,JOR,Jordan,MNA,UMC,2025,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Jordan in 2025?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,LBR,Liberia,WCA,LIC,2027,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Liberia in 2027?,,
