indicator_code,indicator_name,unit,domain,data_type,country_code,country_name,region,income,year,query_type,ground_truth_value
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,YEM,Yemen,MNA,LIC,2000,POSITIVE,92.9092530076976
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,YEM,Yemen,MNA,LIC,2001,POSITIVE,88.2033436282345
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,YEM,Yemen,MNA,LIC,2002,POSITIVE,83.4977339430944
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,YEM,Yemen,MNA,LIC,2003,POSITIVE,78.9625070631194
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,YEM,Yemen,MNA,LIC,2004,POSITIVE,74.6565549681484
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,YEM,Yemen,MNA,LIC,2005,POSITIVE,70.6094041856609
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,YEM,Yemen,MNA,LIC,2006,POSITIVE,66.8546044124318
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,YEM,Yemen,MNA,LIC,2007,POSITIVE,63.403245627408
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,YEM,Yemen,MNA,LIC,2008,POSITIVE,60.2168110293068
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,YEM,Yemen,MNA,LIC,2009,POSITIVE,57.4592881438143
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,YEM,Yemen,MNA,LIC,2010,POSITIVE,55.0107554867517
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,YEM,Yemen,MNA,LIC,2011,POSITIVE,53.1036955477223
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,YEM,Yemen,MNA,LIC,2012,POSITIVE,51.5752888017566
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,YEM,Yemen,MNA,LIC,2013,POSITIVE,49.6447180152419
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,YEM,Yemen,MNA,LIC,2014,POSITIVE,48.6561983950177
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,YEM,Yemen,MNA,LIC,2015,POSITIVE,49.2785873304699
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,YEM,Yemen,MNA,LIC,2016,POSITIVE,47.9452750705279
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,YEM,Yemen,MNA,LIC,2017,POSITIVE,47.4658868661102
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,YEM,Yemen,MNA,LIC,2018,POSITIVE,47.2517570807029
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,YEM,Yemen,MNA,LIC,2019,POSITIVE,46.1224812101634
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,YEM,Yemen,MNA,LIC,2020,POSITIVE,43.398084181442
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,YEM,Yemen,MNA,LIC,2021,POSITIVE,42.6361010391544
