indicator_code,indicator_name,unit,domain,data_type,country_code,country_name,region,income,year,query_type,ground_truth_value,prompt_type,prompt_text,ground_truth_latest_year,ground_truth_latest_value
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,EGY,Egypt,MNA,LMC,2026,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Egypt in 2026?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,ESP,Spain,ECA,HIC,2028,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Spain in 2028?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,GHA,Ghana,WCA,LMC,2025,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Ghana in 2025?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,MDG,Madagascar,ESA,LIC,2029,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Madagascar in 2029?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,MOZ,Mozambique,ESA,LIC,2027,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Mozambique in 2027?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,AND,Andorra,OTHER,HIC,2023,HALLUCINATION_T2,,baseline_latest,What is the latest available Neonatal mortality rate for Andorra?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,LIE,Liechtenstein,OTHER,HIC,2023,HALLUCINATION_T2,,baseline_latest,What is the latest available Neonatal mortality rate for Liechtenstein?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,MCO,Monaco,OTHER,HIC,2023,HALLUCINATION_T2,,baseline_latest,What is the latest available Neonatal mortality rate for Monaco?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,PLW,Palau,OTHER,HIC,2023,HALLUCINATION_T2,,baseline_latest,What is the latest available Neonatal mortality rate for Palau?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,SMR,San Marino,OTHER,HIC,2023,HALLUCINATION_T2,,baseline_latest,What is the latest available Neonatal mortality rate for San Marino?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,AFG,Afghanistan,SAR,LIC,2024,POSITIVE,33.1367342827573,baseline_latest,What is the latest available Neonatal mortality rate for Afghanistan?,2024.0,33.1367342827573
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,BFA,Burkina Faso,WCA,LIC,2023,POSITIVE,24.1671586757274,direct,What was Neonatal mortality rate for Burkina Faso in 2023?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,BFA,Burkina Faso,WCA,LIC,2024,POSITIVE,23.7526417712169,direct,What was Neonatal mortality rate for Burkina Faso in 2024?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,CAN,Canada,NAM,HIC,2024,POSITIVE,3.38895385616468,baseline_latest,What is the latest available Neonatal mortality rate for Canada?,2024.0,3.38895385616468
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,EGY,Egypt,MNA,LMC,2024,POSITIVE,13.8587854280193,direct,What was Neonatal mortality rate for Egypt in 2024?,,
